CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
2298498,9100000772581,,GALVUS 50MG CP B/2X14,6287,8430,0
8124227,9100000898071,3000000141342.0,GALVUSMET 50/1000MG CP B/30,6348,8510,0
8124256,9100000898101,3000000141359.0,GALVUSMET 50/500MG CP B/30,6325,8480,0
8124233,9100000898091,3000000141335.0,GALVUSMET 50/850MG CP B/30,6341,8500,0
1321641,9100001321641,2030689.0,GAMALATE B6 CP B/20     AFR,2708,3630,0
3042507,3400930425077,,GARDENAL 10MG CP B/80,1007,1350,0
3042536,3400930425367,,GARDENAL 100MG CP B/20,1093,1465,0
3042513,3400930425138,3000000656945.0,GARDENAL 50MG CP B/30,673,900,0
8155104,9100001051081,3000000314869.0,GASPRAL 20MG GEL B/15,2163,2900,0
2277378,9100000356481,2277378.0,GASPRAL 20MG GEL B/30,3884,5205,0
8115725,9100000927971,,GASTRICID CP BL/50X4,23257,31185,0
1940451,9100001940451,,GASTRO CALM CAPS  B/36,12607,0,2
8120962,9100000751681,8061863.0,GEBECIP 500MG CP B/10,1149,1540,0
8120979,9100000751691,8062070.0,GEBECIP 750MG CP B/10,1740,2335,0
8120057,9100000609211,,GEBEDOL CP B/10,515,690,0
8176448,9100000962061,3000000215470.0,GEBEDOL FORTE 50/500/250 CP10,1263,1695,0
1340811,9100001340811,3000000678022.0,GEBEFLUC 150MG CP B/1,703,945,0
8120198,9100000611811,8097559.0,GEBEFLUC 200MG CASP B/4,2764,3705,0
1652181,9100001652181,3000000888421.0,GEMOFLOX 200MG CP B/10,1959,2625,0
2286029,9100000391391,,GENES VIT FER CP EFF B/12,2731,0,2
2286041,9100000391371,2286041.0,GENES VIT GROSSESS CP EFF B/12,2762,0,2
2286012,9100000391351,,GENES VIT JUNIOR CP EFF B/10,1902,0,2
8248633,9100000694511,8248633.0,GENES VIT MAGNE 300 CP EFF /10,2219,0,2
2286006,9100000391361,,GENES VIT MULTI CP EFF B/10,1993,0,2
2286035,9100000391381,,GENES VIT PLUS CP EFF B/12,2742,0,2
8076497,9100000780851,8076497.0,GENFORTE 400MG/500MG CP B/100,6239,8365,0
8108292,3000000176658,3000000176658.0,GENSET 10MG CP B/30,1555,2085,0
1594431,3000000791080,,GENSIL MAUX GORGE MENTHE B/24,1800,0,2
1618801,3000000816103,,GENSIL NRJ CPR B/60,5898,0,2
1680981,3000000816097,,GENSIL SAW PALMETTO CPR B/60,4829,0,2
9012022,3000000529997,3000000529997.0,GENTOVIR 300MG CP B/30,6458,8660,0
8157818,3000000220160,3000000220160.0,GESTANE GROSSESSE CAPS B/30,3889,0,2
2019156,9100004062361,,GESTID CP B/20,691,925,0
1894001,3000001213451,,GIANT 20MG/5MG CP PELL B/28,8989,12050,0
1894021,3000001213475,,GIANT 40MG/10MG CP PELL B/28,10700,14350,0
1894011,3000001213468,,GIANT 40MG/5MG CP PELL B/28,9846,13205,0
2291898,9100000466981,,GINKOCER CP B/30,2249,3015,0
3304321,3400933043216,3304321.0,GINKOR FORT GELU B/30,4752,6370,0
8340327,9100000350431,,GLEVO 500MG CP B/5,5140,6890,0
8053757,9100000382341,8040223.0,"GLIBOMET 400/2,5MG CP B/40",2187,2930,0
1134561,3000000381038,,GLIDE LP 60MG CP B/30,4846,6495,0
1134571,3000000381045,3000000381045.0,GLIDE M LP 60MG/500MG B/30,8595,11525,0
1134581,3000000381052,3000000381052.0,GLIDE M LP 60MG/850MG B/30,9038,12120,0
1565341,3000000718483,,GLIDE 60MG CP B/150,17140,22985,0
1584511,9100001584511,,GLIFIL M CP B/3 X 10,1948,2610,0
8493373,9100001040141,,GLIM FORTE CP 80/800MG B/30,4347,5830,0
2291208,9100000766951,,GLIMEPIRIDE DENK2 CP/3X10 BL,2675,3585,0
2291243,9100000766961,,GLIMEPIRIDE DENK3 CP/3X10 BL,3444,4615,0
1613781,3000000849989,3000000849989.0,GLIMERON 4MG CPR B/30,4124,5530,0
1877141,9100001877141,,GLOAMP CLX 250/250MG GELU B/10,1057,1420,0
1877121,9100001877121,,GLOCOXIB 200MG GELU B/30,1605,2155,0
1757571,9100001757571,3000001214892.0,GLOQ 300MG CP B/100,3432,4600,0
1908761,9100001908761,,GLOXIM O 200/200MG CP B/10,4574,6135,0
1756671,9100001756671,,GLOZEPINE 200MG CP B/100,3204,4295,0
1178261,3990000003132,3990000003132.0,GLUCART CP B/100,10299,13810,0
1567371,4065265798785,3560171.0,GLUCOPHAGE 1000MG CP B/30   AF,2220,2975,0
